Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'84148000,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",7588,9241,8763,11775,11773,12866,29667,24628,22050,16254
'72107000,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...",2191,793,1815,2317,5875,13874,12076,15762,17729,16241
'29291000,Isocyanates,8494,10730,14160,11552,14755,20921,30893,35154,12648,16115
'21021000,Active yeasts,8516,10724,10302,8453,10978,13004,11611,12972,12482,15696
'85044030,Static converters: completely built up (cbu) form,0,0,0,0,0,0,0,0,9426,15681
'10039000,Barley (excluding seed for sowing),0,0,8945,10730,4332,6531,9508,4214,2507,15678
'85291000,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",6639,7459,8917,13814,14343,11989,13308,9390,10639,15643
'30041000,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",3553,3397,4952,4890,8076,7231,4523,8611,10466,15572
'72091700,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",12892,17732,18476,21972,29252,32600,26566,30117,14998,15567
'85442000,"Coaxial cable and other coaxial electric conductors, insulated",41180,19850,37155,42225,43411,24727,32001,23823,19188,15389
'84181020,"Combined refrigerator-freezers, with separate external doors: completely built up, cfc free",0,0,0,0,0,0,0,9966,16141,15100
'85042190,"Liquid dielectric transformers, having a power handling capacity <= 650 kva: other",0,0,0,0,0,0,0,1460,15015,15062
'27132000,Petroleum bitumen,2357,2207,1101,3930,7471,10629,20061,26570,20506,15050
'84715090,"Processing units for automatic data-processing machines, whether or not containing in the same ...",0,0,0,0,0,0,0,3340,8356,14988
'85171290,"Telephones for cellular networks ""mobile telephones"" or for other wireless networks: other",0,0,0,0,0,0,0,957,9599,14796
'48026100,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",5120,4978,4165,4405,6598,11896,10561,14347,8510,14087
'27149000,"Bitumen and asphalt, natural; asphaltites and asphaltic rocks",30795,48437,66184,54558,29249,15590,38841,29769,19992,14074
'84778000,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",9421,7658,17114,11748,14844,26836,17236,22173,13044,14011
'76169900,"Articles of aluminium, n.e.s.",2624,2642,34746,12962,5806,11473,7437,5072,4129,13909
